#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_2	1171168	1172247	-	DLEPHM_01097	39.1	9.4		RefSeq:WP_011163072.1, SO:0001217, UniParc:UPI00002248FA, UniRef:UniRef100_Q6MQH7, UniRef:UniRef50_K7YKE4, UniRef:UniRef90_K7YKE4
contig_2	1173411	1173665	+	DLEPHM_01099	9.6	6.0		RefSeq:WP_011163070.1, SO:0001217, UniParc:UPI00002248F8, UniRef:UniRef100_Q6MQH9, UniRef:UniRef50_Q6MQH9, UniRef:UniRef90_Q6MQH9
contig_2	1174898	1176202	-	DLEPHM_01101	47.0	5.0		RefSeq:WP_157865764.1, SO:0001217, UniParc:UPI0002FC0B1C, UniRef:UniRef100_Q6MQI1, UniRef:UniRef50_A0A150WT39, UniRef:UniRef90_Q6MQI1
contig_2	1179089	1179637	-	DLEPHM_01105	19.8	5.9		SO:0001217, UniRef:UniRef50_K7YRF7, UniRef:UniRef90_K7YRF7
contig_2	1202036	1202602	-	DLEPHM_01128	24.2	6.0		SO:0001217, UniParc:UPI00002248DA, UniRef:UniRef100_Q6MQK9, UniRef:UniRef50_K7YU46, UniRef:UniRef90_Q6MQK9
contig_2	1203945	1204424	-	DLEPHM_01131	17.8	5.1		RefSeq:WP_011163037.1, SO:0001217, UniParc:UPI00002248D7, UniRef:UniRef100_Q6MQL2, UniRef:UniRef50_Q6MQL2, UniRef:UniRef90_Q6MQL2
contig_2	1206432	1206827	+	DLEPHM_01134	14.9	4.2		RefSeq:WP_038450791.1, SO:0001217, UniParc:UPI0003142585, UniRef:UniRef100_Q6MQL5, UniRef:UniRef50_K7Z788, UniRef:UniRef90_K7Z788
contig_2	1220462	1221049	+	DLEPHM_01148	21.1	7.8		RefSeq:WP_011163020.1, SO:0001217, UniParc:UPI00002248C6, UniRef:UniRef100_Q6MQM9, UniRef:UniRef50_K7Z778, UniRef:UniRef90_K7Z778
contig_2	1221241	1221741	+	DLEPHM_01149	19.1	5.4		RefSeq:WP_011163019.1, SO:0001217, UniParc:UPI00002248C5, UniRef:UniRef100_Q6MQN0, UniRef:UniRef50_K7YRC5, UniRef:UniRef90_K7YRC5
contig_2	1222835	1223014	+	DLEPHM_01151	6.2	10.3		RefSeq:WP_038450752.1, SO:0001217, UniParc:UPI0002FDAD1F, UniRef:UniRef100_UPI0002FDAD1F, UniRef:UniRef50_A0A1Z3NBZ3, UniRef:UniRef90_A0A1Z3NBZ3
contig_2	1239166	1239906	+	DLEPHM_01165	26.8	9.1		RefSeq:WP_011163003.1, SO:0001217, UniParc:UPI00002248B5, UniRef:UniRef100_Q6MQP6, UniRef:UniRef50_Q6MQP6, UniRef:UniRef90_Q6MQP6
contig_2	1247413	1247790	-	DLEPHM_01172	14.5	9.5		RefSeq:WP_011162995.1, SO:0001217, UniParc:UPI00002248AD, UniRef:UniRef100_Q6MQQ4, UniRef:UniRef50_K7YU08, UniRef:UniRef90_Q6MQQ4
contig_2	1250686	1252863	+	DLEPHM_01176	77.7	8.7		RefSeq:WP_011162990.1, SO:0001217, UniParc:UPI00002248A8, UniRef:UniRef100_Q6MQQ9, UniRef:UniRef50_A0A1Z3NC42, UniRef:UniRef90_A0A1Z3NC42
contig_2	1252923	1253519	-	DLEPHM_01177	21.3	6.2		RefSeq:WP_011162989.1, SO:0001217, UniParc:UPI00002248A7, UniRef:UniRef100_Q6MQR0, UniRef:UniRef50_K7Z758, UniRef:UniRef90_K7Z758
contig_2	1263828	1264247	+	DLEPHM_01186	15.9	5.0		RefSeq:WP_011162979.1, SO:0001217, UniParc:UPI000022489D, UniRef:UniRef100_Q6MQS0, UniRef:UniRef50_K7YTZ6, UniRef:UniRef90_K7YTZ6
contig_2	1272552	1273643	-	DLEPHM_01194	40.1	6.2		RefSeq:WP_011162971.1, SO:0001217, UniParc:UPI0000224895, UniRef:UniRef100_Q6MQS8, UniRef:UniRef50_K7ZE22, UniRef:UniRef90_Q6MQS8
contig_2	1291810	1292403	-	DLEPHM_01212	21.9	8.9		RefSeq:WP_011162953.1, SO:0001217, UniParc:UPI0000224883, UniRef:UniRef100_Q6MQU6, UniRef:UniRef50_A0A1Z3NC61, UniRef:UniRef90_A0A1Z3NC61
contig_2	1297871	1298020	-	DLEPHM_01218	5.6	10.2		SO:0001217, UniRef:UniRef50_K7YTX1, UniRef:UniRef90_K7YTX1
contig_2	1298321	1298428	+	DLEPHM_01219	3.8	9.7		
contig_2	1301372	1301890	+	DLEPHM_01223	19.8	5.9		RefSeq:WP_144313896.1, SO:0001217, UniParc:UPI0002E396FC, UniRef:UniRef100_Q6MQV8, UniRef:UniRef50_Q6MQV8, UniRef:UniRef90_Q6MQV8
contig_2	1313445	1313642	-	DLEPHM_01236	7.8	9.6		
contig_2	1316105	1316608	+	DLEPHM_01239	19.4	6.1		RefSeq:WP_011162927.1, SO:0001217, UniParc:UPI0000224869, UniRef:UniRef100_Q6MQX2, UniRef:UniRef50_K7YTV3, UniRef:UniRef90_K7YTV3
contig_2	1350527	1350649	+	DLEPHM_01274	4.5	10.0		RefSeq:WP_015089486.1, SO:0001217, UniParc:UPI00029D3627, UniRef:UniRef100_K7YTS9, UniRef:UniRef50_K7YTS9, UniRef:UniRef90_K7YTS9
contig_2	1365734	1366258	+	DLEPHM_01292	19.9	6.3		RefSeq:WP_011162876.1, SO:0001217, UniParc:UPI0000224836, UniRef:UniRef100_Q6MR23, UniRef:UniRef50_K7ZDZ3, UniRef:UniRef90_Q6MR23
contig_2	1366983	1367675	+	DLEPHM_01294	25.4	5.5		RefSeq:WP_011162874.1, SO:0001217, UniParc:UPI0000224834, UniRef:UniRef100_Q6MR25, UniRef:UniRef50_K7YTR4, UniRef:UniRef90_K7YTR4
contig_2	1368210	1368809	-	DLEPHM_01296	22.1	8.9		RefSeq:WP_011162872.1, SO:0001217, UniParc:UPI0000224832, UniRef:UniRef100_Q6MR27, UniRef:UniRef50_A0A514WS22, UniRef:UniRef90_K7YR12
contig_2	1383737	1384609	-	DLEPHM_01312	33.5	4.9		RefSeq:WP_231839236.1, SO:0001217, UniParc:UPI0003030D49, UniRef:UniRef100_Q6MR43, UniRef:UniRef50_K7YR03, UniRef:UniRef90_Q6MR43
contig_2	1390758	1394228	-	DLEPHM_01317	131.6	8.8		RefSeq:WP_011162851.1, SO:0001217, UniParc:UPI000022481D, UniRef:UniRef100_Q6MR48, UniRef:UniRef50_Q6MR48, UniRef:UniRef90_Q6MR48
contig_2	1399745	1400101	-	DLEPHM_01325	12.6	5.7		RefSeq:WP_011162843.1, SO:0001217, UniParc:UPI0000224815, UniRef:UniRef100_Q6MR56, UniRef:UniRef50_Q6MR56, UniRef:UniRef90_Q6MR56
contig_2	1421073	1421537	-	DLEPHM_01346	16.6	8.3		RefSeq:WP_011162823.1, SO:0001217, UniParc:UPI0000224801, UniRef:UniRef100_Q6MR76, UniRef:UniRef50_Q6MR76, UniRef:UniRef90_Q6MR76
contig_2	1452501	1453166	-	DLEPHM_01373	25.8	5.8		RefSeq:WP_011162798.1, SO:0001217, UniParc:UPI00002247E8, UniRef:UniRef100_Q6MRA1, UniRef:UniRef50_K7ZDV7, UniRef:UniRef90_K7ZDV7
contig_2	1467483	1470248	+	DLEPHM_01389	103.0	8.9		RefSeq:WP_011162782.1, SO:0001217, UniParc:UPI00002247D8, UniRef:UniRef100_Q6MRB7, UniRef:UniRef50_A0A514WSM1, UniRef:UniRef90_Q6MRB7
contig_2	1493711	1494664	-	DLEPHM_01409	31.9	5.6		RefSeq:WP_157865749.1, SO:0001217, UniParc:UPI0002FB51CE, UniRef:UniRef100_Q6MRD7, UniRef:UniRef50_Q6MRD7, UniRef:UniRef90_Q6MRD7
contig_2	1494730	1496190	-	DLEPHM_01410	48.8	6.7		SO:0001217, UniParc:UPI00002247C3, UniRef:UniRef100_Q6MRD8, UniRef:UniRef50_K7Z6L5, UniRef:UniRef90_Q6MRD8
contig_2	1523647	1523955	+	DLEPHM_01437	11.0	9.2		RefSeq:WP_011162734.1, SO:0001217, UniParc:UPI00002247A8, UniRef:UniRef100_Q6MRG5, UniRef:UniRef50_A0A514XNG0, UniRef:UniRef90_Q6MRG5
contig_2	1534068	1534328	-	DLEPHM_01450	9.2	9.0		RefSeq:WP_011162722.1, SO:0001217, UniParc:UPI000022479D, UniRef:UniRef100_Q6MRH7, UniRef:UniRef50_A0A150WR23, UniRef:UniRef90_K7Z6H2
contig_2	1540520	1541632	-	DLEPHM_01457	41.4	6.2		RefSeq:WP_011162715.1, SO:0001217, UniParc:UPI0000224796, UniRef:UniRef100_Q6MRI4, UniRef:UniRef50_K7ZDS6, UniRef:UniRef90_K7ZDS6
contig_2	1541871	1542326	-	DLEPHM_01459	16.2	5.9		RefSeq:WP_011162714.1, SO:0001217, UniParc:UPI0000224795, UniRef:UniRef100_Q6MRI5, UniRef:UniRef50_A0A161PF34, UniRef:UniRef90_K7YJG5
contig_2	1546179	1546607	-	DLEPHM_01467	15.7	7.7		RefSeq:WP_011162708.1, SO:0001217, UniParc:UPI000022478F, UniRef:UniRef100_Q6MRJ1, UniRef:UniRef50_Q6MRJ1, UniRef:UniRef90_Q6MRJ1
contig_2	1551686	1553743	+	DLEPHM_01473	71.6	8.6		RefSeq:WP_011162702.1, SO:0001217, UniParc:UPI0000224789, UniRef:UniRef100_Q6MRJ7, UniRef:UniRef50_Q6MRJ7, UniRef:UniRef90_Q6MRJ7
contig_2	1558809	1559117	-	DLEPHM_01479	11.0	9.0		RefSeq:WP_011162697.1, SO:0001217, UniParc:UPI0000224784, UniRef:UniRef100_Q6MRK2, UniRef:UniRef50_Q6MRK2, UniRef:UniRef90_Q6MRK2
contig_2	1597951	1598154	+	DLEPHM_01517	7.4	4.4		RefSeq:WP_011162659.1, SO:0001217, UniParc:UPI000022475E, UniRef:UniRef100_Q6MRN9, UniRef:UniRef50_K7ZDQ6, UniRef:UniRef90_K7ZDQ6
contig_2	1604764	1605015	-	DLEPHM_01525	9.2	9.5		RefSeq:WP_011162650.1, SO:0001217, UniParc:UPI0000224755, UniRef:UniRef100_Q6MRP8, UniRef:UniRef50_M4V731, UniRef:UniRef90_K7Z6A7
contig_2	1630826	1631077	-	DLEPHM_01551	9.5	9.6		
contig_2	1674345	1674602	-	DLEPHM_01588	9.4	4.6	PF01258.23|zf-dskA_traR	PFAM:PF01258.23
contig_2	1697770	1699371	+	DLEPHM_01611	57.6	9.3		RefSeq:WP_144313886.1, SO:0001217, UniParc:UPI0002DF57C9, UniRef:UniRef100_Q6MGS2, UniRef:UniRef50_K7YU12, UniRef:UniRef90_K7YU12
contig_2	1718382	1718681	-	DLEPHM_01634	11.3	6.0		RefSeq:WP_011166127.1, SO:0001217, UniParc:UPI00002254E7, UniRef:UniRef100_Q6MGU5, UniRef:UniRef50_K7ZCN9, UniRef:UniRef90_K7ZCN9
contig_2	1719680	1720480	-	DLEPHM_01636	30.1	7.7		RefSeq:WP_231839222.1, SO:0001217, UniParc:UPI0002EB7FF9, UniRef:UniRef100_Q6MGU7, UniRef:UniRef50_Q6MGU7, UniRef:UniRef90_Q6MGU7
contig_2	1744124	1744333	+	DLEPHM_01660	8.0	8.0		RefSeq:WP_011166100.1, SO:0001217, UniParc:UPI00002254CC, UniRef:UniRef100_Q6MGX2, UniRef:UniRef50_Q6MGX2, UniRef:UniRef90_Q6MGX2
contig_2	1771337	1771639	+	DLEPHM_01688	11.0	4.8		RefSeq:WP_041583661.1, SO:0001217, UniParc:UPI0002DD091B, UniRef:UniRef100_Q6MGZ8, UniRef:UniRef50_Q6MGZ8, UniRef:UniRef90_Q6MGZ8
contig_2	1779607	1780854	-	DLEPHM_01695	45.9	5.1		RefSeq:WP_011166064.1, SO:0001217, UniParc:UPI00002254A8, UniRef:UniRef100_Q6MH06, UniRef:UniRef50_K7YTQ7, UniRef:UniRef90_Q6MH06
contig_2	1782531	1783166	-	DLEPHM_01698	23.5	8.3		RefSeq:WP_011166061.1, SO:0001217, UniParc:UPI00002254A5, UniRef:UniRef100_Q6MH09, UniRef:UniRef50_Q6MH09, UniRef:UniRef90_Q6MH09
contig_2	1794398	1794925	-	DLEPHM_01708	21.8	12.0		
contig_2	1796767	1797336	+	DLEPHM_01711	21.2	9.3		RefSeq:WP_011166049.1, SO:0001217, UniParc:UPI0000225499, UniRef:UniRef100_Q6MH21, UniRef:UniRef50_K7ZHA9, UniRef:UniRef90_K7ZHA9
contig_2	1806863	1807228	+	DLEPHM_01725	13.4	8.3		RefSeq:WP_157865737.1, SO:0001217, UniParc:UPI00030FF9EE, UniRef:UniRef100_Q6MH33, UniRef:UniRef50_A0A150WVY5, UniRef:UniRef90_K7Z2E5
contig_2	1819813	1820115	-	DLEPHM_01738	11.7	9.3		RefSeq:WP_011166024.1, SO:0001217, UniParc:UPI0000225480, UniRef:UniRef100_Q6MH46, UniRef:UniRef50_A0A162GRG1, UniRef:UniRef90_Q6MH46
contig_2	1821499	1821993	+	DLEPHM_01740	17.9	6.6		RefSeq:WP_011166022.1, SO:0001217, UniParc:UPI000022547E, UniRef:UniRef100_Q6MH48, UniRef:UniRef50_K7Z2D1, UniRef:UniRef90_K7Z2D1
contig_2	1823853	1824641	+	DLEPHM_01743	29.5	11.6		RefSeq:WP_011166019.1, SO:0001217, UniParc:UPI000022547B, UniRef:UniRef100_Q6MH51, UniRef:UniRef50_Q6MH51, UniRef:UniRef90_Q6MH51
contig_2	1829255	1830151	+	DLEPHM_01749	33.0	6.7		RefSeq:WP_041583654.1, SO:0001217, UniParc:UPI0002EACF4F, UniRef:UniRef100_Q6MH57, UniRef:UniRef50_A0A514X244, UniRef:UniRef90_K7ZH99
contig_1	20	622	+	DLEPHM_01756	22.7	9.1		
contig_1	25197	25718	-	DLEPHM_01780	19.0	7.0		RefSeq:WP_011164184.1, SO:0001217, UniParc:UPI0000224D52, UniRef:UniRef100_Q6MMC3, UniRef:UniRef50_K7YXE8, UniRef:UniRef90_Q6MMC3
contig_1	51059	53896	+	DLEPHM_01809	102.8	6.4		RefSeq:WP_041583526.1, SO:0001217, UniParc:UPI0003138E74, UniRef:UniRef100_Q6MM95, UniRef:UniRef50_Q6MM95, UniRef:UniRef90_Q6MM95
contig_1	57150	57332	-	DLEPHM_01813	6.7	10.0		RefSeq:WP_011164216.1, SO:0001217, UniParc:UPI0000224D72, UniRef:UniRef100_Q6MM91, UniRef:UniRef50_K7YNN8, UniRef:UniRef90_Q6MM91
contig_1	58268	58375	-	DLEPHM_01815	4.2	9.0		SO:0001217, UniRef:UniRef50_K7YXH7
contig_1	88305	88565	-	DLEPHM_01847	9.9	6.7		RefSeq:WP_011164246.1, SO:0001217, UniParc:UPI0000224D90, UniRef:UniRef100_Q6MM61, UniRef:UniRef50_K7YUY3, UniRef:UniRef90_Q6MM61
contig_1	91287	92258	-	DLEPHM_01852	37.1	9.2		RefSeq:WP_011164251.1, SO:0001217, UniParc:UPI0000224D95, UniRef:UniRef100_Q6MM56, UniRef:UniRef50_K7YUY6, UniRef:UniRef90_Q6MM56
contig_1	92265	93065	-	DLEPHM_01853	27.5	5.5		RefSeq:WP_011164252.1, SO:0001217, UniParc:UPI0000224D96, UniRef:UniRef100_Q6MM55, UniRef:UniRef50_Q6MM55, UniRef:UniRef90_Q6MM55
contig_1	97406	97600	+	DLEPHM_01860	6.4	8.5		RefSeq:WP_011164259.1, SO:0001217, UniParc:UPI0000224D9D, UniRef:UniRef100_Q6MM48, UniRef:UniRef50_Q6MM48, UniRef:UniRef90_Q6MM48
contig_1	129849	130259	-	DLEPHM_01890	15.2	5.6		RefSeq:WP_011164289.1, SO:0001217, UniParc:UPI0000224DBB, UniRef:UniRef100_Q6MM19, UniRef:UniRef50_Q6MM19, UniRef:UniRef90_Q6MM19
contig_1	149697	150080	+	DLEPHM_01905	14.5	6.1		RefSeq:WP_011164306.1, SO:0001217, UniParc:UPI0000224DCC, UniRef:UniRef100_Q6MM02, UniRef:UniRef50_K7YXS3, UniRef:UniRef90_K7YXS3
contig_1	164781	165839	-	DLEPHM_01918	39.1	6.2	PF23621.1|BP74_N	PFAM:PF23621.1, RefSeq:WP_011164320.1, SO:0001217, UniParc:UPI0000224DDA, UniRef:UniRef100_Q6MLY8, UniRef:UniRef50_A0A514WVZ8, UniRef:UniRef90_K7YV40
contig_1	179600	180100	-	DLEPHM_01932	18.9	5.8		RefSeq:WP_011164335.1, SO:0001217, UniParc:UPI0000224DE9, UniRef:UniRef100_Q6MLX3, UniRef:UniRef50_Q6MLX3, UniRef:UniRef90_Q6MLX3
contig_1	180178	180333	+	DLEPHM_01933	5.9	10.3		
contig_1	180612	180920	+	DLEPHM_01935	11.3	10.2		RefSeq:WP_038449153.1, SO:0001217, UniParc:UPI0002EFC085, UniRef:UniRef100_Q6MLX0, UniRef:UniRef50_Q6MLX0, UniRef:UniRef90_Q6MLX0
contig_1	182466	182723	+	DLEPHM_01938	9.1	5.7		RefSeq:WP_011164341.1, SO:0001217, UniParc:UPI0000224DEF, UniRef:UniRef100_Q6MLW7, UniRef:UniRef50_Q6MLW7, UniRef:UniRef90_Q6MLW7
contig_1	184582	187203	-	DLEPHM_01941	95.1	4.5	PF17164.10|DUF5122	PFAM:PF17164.10, RefSeq:WP_011164343.1, SO:0001217, UniParc:UPI0000224DF1, UniRef:UniRef100_Q6MLW5, UniRef:UniRef50_A0A1Z3N8M4, UniRef:UniRef90_A0A1Z3N8M4
contig_1	187392	187808	-	DLEPHM_01942	14.8	8.8		RefSeq:WP_011164344.1, SO:0001217, UniParc:UPI0000224DF2, UniRef:UniRef100_Q6MLW4, UniRef:UniRef50_Q6MLW4, UniRef:UniRef90_Q6MLW4
contig_1	187870	188052	-	DLEPHM_01943	7.5	9.3		RefSeq:WP_144313820.1, SO:0001217, UniParc:UPI00030CC5AC, UniRef:UniRef100_Q6MLW3, UniRef:UniRef50_K7ZA90, UniRef:UniRef90_K7ZA90
contig_1	191635	192102	+	DLEPHM_01947	17.4	8.9		RefSeq:WP_011164349.1, SO:0001217, UniParc:UPI0000224DF7, UniRef:UniRef100_Q6MLV9, UniRef:UniRef50_K7ZA92, UniRef:UniRef90_Q6MLV9
contig_1	192056	193141	-	DLEPHM_01948	40.4	6.3		RefSeq:WP_011164350.1, SO:0001217, UniParc:UPI0000224DF8, UniRef:UniRef100_Q6MLV8, UniRef:UniRef50_Q6MLV8, UniRef:UniRef90_Q6MLV8
contig_1	196142	196582	-	DLEPHM_01952	16.7	5.0		RefSeq:WP_011164354.1, SO:0001217, UniParc:UPI0000224DFC, UniRef:UniRef100_Q6MLV4, UniRef:UniRef50_K7YP18, UniRef:UniRef90_Q6MLV4
contig_1	200295	200672	+	DLEPHM_01958	13.4	4.9		RefSeq:WP_011164360.1, SO:0001217, UniParc:UPI0000224E02, UniRef:UniRef100_Q6MLU8, UniRef:UniRef50_Q6MLU8, UniRef:UniRef90_Q6MLU8
contig_1	201089	201280	+	DLEPHM_01959	7.3	6.6		RefSeq:WP_011164361.1, SO:0001217, UniParc:UPI0000224E03, UniRef:UniRef100_Q6MLU7, UniRef:UniRef50_Q6MLU7, UniRef:UniRef90_Q6MLU7
contig_1	201344	201583	+	DLEPHM_01960	8.8	5.5		RefSeq:WP_011164362.1, SO:0001217, UniParc:UPI0000224E04, UniRef:UniRef100_Q6MLU6, UniRef:UniRef50_Q6MLU6, UniRef:UniRef90_Q6MLU6
contig_1	202022	202687	+	DLEPHM_01962	24.7	6.3		RefSeq:WP_011164364.1, SO:0001217, UniParc:UPI0000224E06, UniRef:UniRef100_Q6MLU4, UniRef:UniRef50_K7YV83, UniRef:UniRef90_K7YV83
contig_1	212139	212516	+	DLEPHM_01973	13.7	5.9		RefSeq:WP_011164377.1, SO:0001217, UniParc:UPI0000224E13, UniRef:UniRef100_Q6MLT1, UniRef:UniRef50_Q6MLT1, UniRef:UniRef90_Q6MLT1
contig_1	212573	212803	+	DLEPHM_01974	8.6	9.4		RefSeq:WP_231839336.1, SO:0001217, UniParc:UPI001E55479B, UniRef:UniRef100_Q6MLT0, UniRef:UniRef50_K7YXZ1, UniRef:UniRef90_K7YXZ1
contig_1	221851	222348	-	DLEPHM_01984	18.3	9.4		RefSeq:WP_011164388.1, SO:0001217, UniParc:UPI0000224E1E, UniRef:UniRef100_Q6MLS1, UniRef:UniRef50_A0A1Z3N8H8, UniRef:UniRef90_Q6MLS1
contig_1	247027	247221	-	DLEPHM_02004	7.4	9.9		RefSeq:WP_011164408.1, SO:0001217, UniParc:UPI0000224E32, UniRef:UniRef100_Q6MLQ1, UniRef:UniRef50_M4VC18, UniRef:UniRef90_Q6MLQ1
contig_1	247810	248280	+	DLEPHM_02006	17.4	7.0		RefSeq:WP_011164410.1, SO:0001217, UniParc:UPI0000224E34, UniRef:UniRef100_Q6MLP9, UniRef:UniRef50_K7YP60, UniRef:UniRef90_K7YP60
contig_1	251469	251786	-	DLEPHM_02011	11.5	9.1		RefSeq:WP_011164415.1, SO:0001217, UniParc:UPI0000224E39, UniRef:UniRef100_Q6MLP4, UniRef:UniRef50_K7YP62, UniRef:UniRef90_K7YP62
contig_1	256714	256935	-	DLEPHM_02018	8.2	9.1		RefSeq:WP_038449220.1, SO:0001217, UniParc:UPI0002EABF5A, UniRef:UniRef100_Q6MLN7, UniRef:UniRef50_Q6MLN7, UniRef:UniRef90_Q6MLN7
contig_1	293078	293368	-	DLEPHM_02049	11.0	5.2		RefSeq:WP_144313828.1, SO:0001217, UniParc:UPI0002FEFDD7, UniRef:UniRef100_Q6MLK4, UniRef:UniRef50_K7YP91, UniRef:UniRef90_K7YP91
contig_1	293780	294757	+	DLEPHM_02050	36.1	4.9		RefSeq:WP_011164456.1, SO:0001217, UniParc:UPI0000224E62, UniRef:UniRef100_Q6MLK3, UniRef:UniRef50_K7ZFN1, UniRef:UniRef90_K7ZFN1
contig_1	319591	320367	-	DLEPHM_02078	29.8	7.0		RefSeq:WP_011164484.1, SO:0001217, UniParc:UPI0000224E7E, UniRef:UniRef100_Q6MLH5, UniRef:UniRef50_Q6MLH5, UniRef:UniRef90_Q6MLH5
contig_1	322085	322669	+	DLEPHM_02080	22.6	5.2		RefSeq:WP_041583734.1, SO:0001217, UniParc:UPI0003080E98, UniRef:UniRef100_UPI00345B7552, UniRef:UniRef50_K7ZFP2, UniRef:UniRef90_K7ZFP2
contig_1	322732	323268	-	DLEPHM_02081	19.7	5.9		RefSeq:WP_011164487.1, SO:0001217, UniParc:UPI0000224E81, UniRef:UniRef100_Q6MLH2, UniRef:UniRef50_Q6MLH2, UniRef:UniRef90_Q6MLH2
contig_1	324862	326190	-	DLEPHM_02084	49.3	7.2		RefSeq:WP_041583539.1, SO:0001217, UniParc:UPI0002F36CEE, UniRef:UniRef100_Q6MLG9, UniRef:UniRef50_Q6MLG9, UniRef:UniRef90_Q6MLG9
contig_1	328892	329329	-	DLEPHM_02088	15.5	9.3		RefSeq:WP_050792913.1, SO:0001217, UniParc:UPI00045BF5EF, UniRef:UniRef100_Q6MLG5, UniRef:UniRef50_Q6MLG5, UniRef:UniRef90_Q6MLG5
contig_1	329441	330475	-	DLEPHM_02089	36.0	4.6		RefSeq:WP_041583540.1, SO:0001217, UniParc:UPI0002F7AA52, UniRef:UniRef100_Q6MLG4, UniRef:UniRef50_Q6MLG4, UniRef:UniRef90_Q6MLG4
contig_1	330488	330631	-	DLEPHM_02090	4.9	4.3		
contig_1	332473	332871	-	DLEPHM_02094	15.0	9.5		RefSeq:WP_011164499.1, SO:0001217, UniParc:UPI0000224E8D, UniRef:UniRef100_Q6MLG0, UniRef:UniRef50_K7YPC4, UniRef:UniRef90_K7YPC4
contig_1	339694	341523	-	DLEPHM_02101	66.0	8.8		RefSeq:WP_231839118.1, SO:0001217, UniParc:UPI001E521C38, UniRef:UniRef100_Q6MLF3, UniRef:UniRef50_K7YVL7, UniRef:UniRef90_K7YVL7
contig_1	350054	350449	-	DLEPHM_02112	14.4	4.6		RefSeq:WP_011164516.1, SO:0001217, UniParc:UPI0000224E9E, UniRef:UniRef100_Q6MLE3, UniRef:UniRef50_K7YVM6, UniRef:UniRef90_K7YVM6
contig_1	373974	374600	+	DLEPHM_02130	23.9	4.3		RefSeq:WP_011164534.1, SO:0001217, UniParc:UPI0000224EB0, UniRef:UniRef100_Q6MLC5, UniRef:UniRef50_Q6MLC5, UniRef:UniRef90_Q6MLC5
contig_1	406130	406399	+	DLEPHM_02163	10.0	5.8		RefSeq:WP_011164567.1, SO:0001217, UniParc:UPI0000224ED1, UniRef:UniRef100_Q6ML92, UniRef:UniRef50_Q6ML92, UniRef:UniRef90_Q6ML92
contig_1	412302	413273	-	DLEPHM_02170	35.0	6.5		RefSeq:WP_011164574.1, SO:0001217, UniParc:UPI0000224ED8, UniRef:UniRef100_Q6ML85, UniRef:UniRef50_K7YVS7, UniRef:UniRef90_K7YVS7
contig_1	416741	417037	-	DLEPHM_02173	11.4	7.9		RefSeq:WP_050792915.1, SO:0001217, UniParc:UPI00030424D6, UniRef:UniRef100_Q6ML83, UniRef:UniRef50_Q6ML83, UniRef:UniRef90_Q6ML83
contig_1	428316	428645	+	DLEPHM_02186	12.4	8.6		RefSeq:WP_011164589.1, SO:0001217, UniParc:UPI0000224EE7, UniRef:UniRef100_Q6ML70, UniRef:UniRef50_K7YVU8, UniRef:UniRef90_Q6ML70
contig_1	438781	438993	+	DLEPHM_02196	8.6	10.3		RefSeq:WP_041583551.1, SO:0001217, UniParc:UPI0002E99BBF, UniRef:UniRef100_UPI0002E99BBF, UniRef:UniRef50_A0A150WJ27, UniRef:UniRef90_A0A1Z3N7X9
contig_1	440215	440610	-	DLEPHM_02199	14.7	7.7		SO:0001217, UniParc:UPI0000224EF3, UniRef:UniRef100_Q6ML58, UniRef:UniRef50_A0A923Q0G8, UniRef:UniRef90_K7YPN9
contig_1	447044	447520	+	DLEPHM_02207	18.3	8.7		RefSeq:WP_011164609.1, SO:0001217, UniParc:UPI0000224EFB, UniRef:UniRef100_Q6ML50, UniRef:UniRef50_Q6ML50, UniRef:UniRef90_Q6ML50
contig_1	457015	457404	+	DLEPHM_02215	15.3	4.9		RefSeq:WP_011164618.1, SO:0001217, UniParc:UPI0000224F04, UniRef:UniRef100_Q6ML41, UniRef:UniRef50_Q6ML41, UniRef:UniRef90_Q6ML41
contig_1	457556	458200	+	DLEPHM_02216	23.6	7.7		RefSeq:WP_011164619.1, SO:0001217, UniParc:UPI0000224F05, UniRef:UniRef100_Q6ML40, UniRef:UniRef50_Q6ML40, UniRef:UniRef90_Q6ML40
contig_1	461822	462490	-	DLEPHM_02220	24.7	10.8		
contig_1	470982	471455	+	DLEPHM_02228	17.0	5.4		RefSeq:WP_011164632.1, SO:0001217, UniParc:UPI0000224F12, UniRef:UniRef100_Q6ML27, UniRef:UniRef50_K7YPS2, UniRef:UniRef90_K7YPS2
contig_1	502916	503344	+	DLEPHM_02258	15.7	8.8		RefSeq:WP_011164662.1, SO:0001217, UniParc:UPI0000224F30, UniRef:UniRef100_Q6MKZ7, UniRef:UniRef50_M4V5M9, UniRef:UniRef90_Q6MKZ7
contig_1	520844	521140	+	DLEPHM_02277	11.7	9.5		RefSeq:WP_011164682.1, SO:0001217, UniParc:UPI0000224F44, UniRef:UniRef100_Q6MKX7, UniRef:UniRef50_K7YPX6, UniRef:UniRef90_Q6MKX7
contig_1	531731	532450	+	DLEPHM_02285	26.9	9.5		RefSeq:WP_011164690.1, SO:0001217, UniParc:UPI0000224F4C, UniRef:UniRef100_Q6MKW9, UniRef:UniRef50_K7YW57, UniRef:UniRef90_K7YW57
